ART,DATUM,DRAENG,LANG,BREIT,TIEF,PANZ,PS,KNOTEN,RADIUS,MANN,KLASSE
1,1935,41.7,251.0,36.0,10.2,2.0,150.0,30.1,93.0,2902.0,Bismarck (DR)
1,1936,42.9,251.0,36.0,11.3,2.0,144.0,30.8,90.0,2370.0,Tirpitz (DR)
1,1904,13.2,128.0,22.2,7.7,3.0,17.0,16.0,59.0,725.0,Schlesien (DR)
3,1929,12.1,188.0,20.7,5.0,4.0,54.0,26.0,100.0,1150.0,Admiral Graf Spee (DR)
3,1935,12.0,203.0,21.3,4.7,4.0,132.0,32.0,75.0,1600.0,Admiral Hipper (DR)
3,1940,14.42,208.0,21.6,4.5,4.0,132.0,34.0,75.0,1600.0,Prinz Eugen (DR)
4,1921,5.6,156.0,14.3,5.8,4.0,46.5,29.0,52.0,630.0,Emden (DR)
4,1926,6.0,174.0,15.2,5.4,4.0,65.0,32.0,98.0,592.0,Königsberg (DR)
4,1928,6.0,177.0,16.3,4.8,6.0,60.0,32.0,70.0,632.0,Leipzig (DR)
5,1934,2.232,114.0,11.3,2.8,6.0,70.0,38.0,45.0,283.0,Klasse Z-Zerstörer (DR)
1,1911,36.6,222.0,31.0,9.6,1.0,136.0,30.3,100.0,1437.0,Kongo (J)
1,1914,39.15,213.0,33.0,9.7,1.0,75.0,24.7,118.0,1400.0,Fuso (J)
1,1915,42.7,216.0,33.8,9.8,1.0,45.0,25.3,85.0,1376.0,Ise (J)
1,1917,46.35,225.0,34.6,9.5,1.0,82.0,23.0,86.0,1370.0,Nagato (J)
1,1940,72.8,263.0,39.0,10.9,1.0,150.0,27.0,72.0,2500.0,Yamato (J)
3,1924,7.1,181.0,15.5,4.5,4.0,95.0,33.0,120.0,625.0,Aoba (J)
3,1924,10.0,195.0,19.0,5.0,3.0,100.0,33.0,140.0,773.0,Nati (J)
3,1928,9.85,198.0,19.0,5.0,3.0,100.0,33.0,140.0,773.0,Tyokai (J)
4,1917,3.23,143.0,12.4,4.0,5.0,51.0,33.0,60.0,330.0,Tenryu (J)
4,1919,5.1,163.0,14.4,4.8,4.0,70.0,33.0,90.0,440.0,Kuma (J)
4,1920,5.17,163.0,14.4,4.8,4.0,70.0,33.0,90.0,440.0,Nagara (J)
4,1922,2.89,133.0,12.0,3.6,5.0,57.0,33.0,75.0,360.0,Yubari (J)
5,1918,1.215,103.0,8.9,2.9,6.0,38.5,34.0,40.0,148.0,Sawakaze (J)
5,1921,1.27,98.0,9.1,2.9,6.0,38.5,34.0,40.0,148.0,Kamikaze (J)
5,1931,1.368,103.0,9.9,2.7,6.0,37.0,34.0,45.0,200.0,Nenohi (J)
5,1937,2.0,109.0,10.2,2.7,6.0,45.0,36.0,45.0,200.0,Kagero (J)
1,1914,33.5,189.0,31.0,9.4,1.0,40.0,22.0,42.0,1146.0,Archangelsk (SU)
1,1909,26.0,189.0,26.5,8.4,2.0,42.0,23.0,40.0,1230.0,Marat (SU)
3,1913,8.03,158.0,15.4,6.2,6.0,55.0,30.0,37.0,624.0,Krasni-Kavkaz (SU)
3,1936,10.0,193.0,18.0,6.4,4.0,100.0,35.0,42.0,624.0,Kirow (SU)
4,1896,5.662,127.0,16.8,6.5,4.0,11.6,17.0,20.0,598.0,Aurora (SU)
4,1915,6.6,159.0,15.3,5.6,6.0,55.0,29.0,37.0,630.0,Profintern (SU)
4,1875,4.25,87.0,14.6,6.7,6.0,4.5,11.0,59.0,262.0,25 Oktjabrja (SU)
4,1893,4.6,124.0,15.4,6.7,6.0,11.0,25.0,45.0,198.0,Marti (SU)
5,1935,3.5,134.0,13.7,3.7,6.0,90.0,36.0,35.0,146.0,Leningrad (SU)
5,1936,2.895,132.0,13.0,3.7,6.0,95.0,39.0,30.0,176.0,Taschkent (SU)
5,1914,1.28,96.0,9.3,3.0,6.0,30.0,30.0,28.0,160.0,Stalin (SU)
5,1912,1.354,105.0,9.5,3.0,6.0,32.7,28.0,20.0,180.0,Karl Marx (SU)
1,1911,29.1,186.0,28.0,10.4,2.0,93.0,28.0,31.0,1240.0,Conte di Cavour (I)
1,1912,29.0,187.0,28.0,10.4,2.0,87.0,27.0,33.9,1500.0,Andrea Doria (I)
1,1934,45.752,238.0,32.4,10.5,1.0,140.0,30.0,45.8,1920.0,Vittorio Veneto (I)
3,1905,9.232,141.0,21.0,6.9,3.0,18.0,22.0,63.0,860.0,San Giorgio (I)
3,1925,10.0,197.0,20.6,5.4,4.0,150.0,35.0,30.0,723.0,Trento (I)
3,1929,10.0,183.0,20.6,5.9,4.0,95.0,32.0,32.0,705.0,Zara (I)
4,1928,5.069,169.0,15.5,4.3,6.0,95.0,37.0,25.0,500.0,A. da Gussano (I)
4,1932,7.283,186.0,17.5,5.0,3.0,110.0,36.5,25.0,551.0,Eugenio di Savola (I)
4,1933,9.0,187.0,18.6,5.2,3.0,100.0,35.0,25.0,600.0,Guiseppe Garibaldi (I)
4,1931,8.0,182.0,16.5,5.0,6.0,106.0,37.0,20.0,522.0,R. Montecuccoli (I)
5,1921,2.283,113.0,10.4,2.7,6.0,40.0,34.0,25.0,118.0,Leone (I)
5,1922,0.935,85.0,8.6,2.6,6.0,36.0,35.0,27.5,120.0,Q. Sella (I)
5,1925,1.092,94.0,9.2,2.9,6.0,40.0,36.0,25.0,142.0,Turbine (I)
5,1931,1.449,107.0,10.2,3.0,6.0,44.0,38.0,20.0,153.0,Maestrale (I)
5,1935,1.95,107.0,10.2,3.4,6.0,48.0,39.0,20.0,157.0,A. Oriani (I)
